gene_id	0	0.5	1	1.5	2	2.5	3	3.5	4	5	6	7
AARS2	10.24271254	10.39005571	10.19157953	10.33769688	10.26111877	10.09064427	9.965501307	9.811354835	9.75735987	9.738508293	9.511962485	9.54668617
AARSD1	11.05556625	11.27177056	11.31182351	11.41536066	11.22113809	10.99094177	10.88270717	10.9417638	10.62357984	10.60896116	10.27884171	10.37761388
ABCA7	9.456439123	9.579838513	9.676847251	9.550046917	10.15636005	10.29869408	10.66977831	10.08938258	10.68532668	10.63879013	10.65894762	10.62079312
ABCE1	14.04390334	14.03118858	13.75632159	13.91894999	13.40340416	13.38533951	13.03051387	13.34068131	12.86853945	12.71956196	12.33894779	12.39731076
ABCF1	12.73490202	12.84689611	12.76467693	12.85828069	12.71127012	12.64435012	12.52742915	12.5192687	12.42686812	12.32812076	12.03829154	12.0795046
ABTB1	9.185210523	9.3771742	9.598998511	9.457935302	9.924446279	9.9018255	10.06500682	9.579340857	10.06784472	9.607684822	9.708614787	9.560008234
ACO1	12.19538229	12.4971674	12.93675269	12.70475827	12.7865646	12.37778948	12.30860979	12.15459145	12.09530863	12.0272908	11.81495684	11.85999429
ADRB2	7.635353129	7.670071144	7.327561628	6.993971566	6.964231051	6.947491215	6.96828927	6.953071641	7.025699169	7.220335932	7.131582539	6.99690825
AGO1	12.14445973	12.48220343	12.71707624	13.12038813	13.44998222	13.72061543	13.9363935	13.94502506	14.02665038	13.90058949	13.60959961	13.33127688
AGO2	13.26992708	13.30429425	13.38654177	13.24434469	13.07941165	12.95748241	12.77402249	12.95054714	12.69495758	12.49662511	12.74067652	12.64122757
AGO3	9.818945956	9.591691756	9.912853704	9.846279777	9.953398614	9.952018443	9.787184062	9.968092736	9.972128916	9.612473368	9.939277158	9.653471816
AGO4	7.784515844	7.690300349	8.178608564	7.948178208	8.486132261	8.497197431	8.855865062	8.591152077	9.217359658	9.075513083	9.596065777	9.499370942
AIMP1	11.4802806	11.40453624	11.51260271	11.53071379	11.47571467	11.33326963	11.17419952	11.25055245	11.06179019	10.99556	10.7112357	10.6490805
AIMP2	10.68373229	11.07845763	10.74886047	11.09364403	10.37238509	10.50337928	10.3018346	10.51046916	10.05761139	10.01323368	9.5978311	9.803719737
AKT1	11.61513351	12.2781312	12.29633677	12.59641777	12.70772317	12.82002663	13.00246239	13.04429255	13.1174408	13.32537365	13.38740561	13.40199264
AKT2	11.58662469	11.78116342	11.94335339	11.97841955	11.71956195	11.6864355	11.61885267	11.64665924	11.59281774	11.46927251	11.40731783	11.35218025
ALKBH1	10.3329872	10.42653189	10.29874652	10.50157187	10.29725355	10.09400518	10.11154357	10.02306433	10.08957426	9.82901731	9.798648862	9.792602006
AMBRA1	11.31553988	11.30346687	11.20359549	11.35276221	11.3220309	11.35640362	11.37881899	11.42268319	11.44649992	11.34960685	11.31848607	11.40698597
AMFR	12.13384759	12.30742286	12.42288585	12.44745902	12.57812168	12.47498896	12.55858359	12.63169296	12.59337298	12.74113232	12.93353182	12.97745239
ANG	6.55116931	6.421488911	6.640568602	6.392044712	6.545113579	6.482840796	6.522331642	6.468215312	6.263344712	6.517553933	6.504466038	6.482230065
APOD	7.192368777	6.701523425	6.704694434	6.518946758	6.604438026	6.612641938	6.771591763	6.850129561	6.972586113	7.400179601	7.609374434	8.031535297
APP	11.71952345	11.62368278	11.92101817	11.56135423	12.70768009	13.02214352	13.53582929	13.40926681	13.62700049	14.16576735	14.83517999	14.96439745
ATF3	9.56241885	8.431451816	8.328208948	9.039366691	9.139764574	7.659010941	7.71046745	7.588642678	7.541881909	7.934453308	7.741790667	7.749691738
ATF4	12.68709431	11.56817407	12.18931129	13.19918934	13.11932606	11.68387295	12.00161275	11.86604041	11.76063796	12.01832748	11.63342968	11.6488566
ATF6	10.28170209	10.38318002	10.45870188	10.60342461	10.85478539	10.74262288	10.7377435	10.8046193	10.7914387	10.88376464	11.1626349	11.07201525
ATG13	10.11735965	10.53846864	10.28517047	10.4158694	10.39020613	10.64589809	10.58773026	10.62682276	10.75333675	10.67048867	10.80833289	10.77770499
ATG14	9.361110317	9.500884534	9.404216353	9.291039485	9.384167314	9.432745599	9.588420565	9.513688086	9.714813576	9.599524864	9.571859157	9.474500123
ATG5	10.14812236	10.45680442	10.32801069	10.41633144	10.07917323	10.34874418	10.11583879	10.28191209	10.11085618	10.14159463	9.923608159	9.838350336
AUP1	11.11628078	11.02002458	11.05317158	10.9678463	11.20893499	10.75868835	10.82741048	10.72894316	10.85188627	10.76787688	10.77218267	10.68154783
BAG3	10.57083243	10.38736124	10.28760358	10.1464772	10.2452804	9.924993494	9.860647665	9.397330267	9.317616052	9.363624002	9.326356138	9.440553984
BAG5	9.870314264	10.11173609	10.01535675	10.25777379	9.995746262	10.18403259	10.16008833	10.3579857	10.29036823	10.36416763	10.25866115	10.27805428
BAK1	11.60820023	11.46832009	11.29276105	11.5722904	11.22496466	11.10233148	10.97150251	10.90275622	10.75625311	10.79738952	10.71446588	10.71840049
BARHL2	6.583666909	6.477794012	6.505108431	6.368552688	6.322225915	6.316903089	6.410491392	6.474644697	6.60661561	6.865974801	7.093068887	7.11780999
BAX	11.80776706	11.8941151	11.73641288	11.71788023	11.55482585	11.72216839	11.53740138	11.4439201	11.41446942	11.20449179	10.99051536	10.82415332
BCAP31	11.22113669	11.28542044	11.10057262	11.1105347	10.92462823	11.08127074	11.00018503	11.07664945	11.01530746	11.11855608	11.17276394	11.19784381
BCL3	7.330839515	6.973220984	7.063139042	6.901660273	7.017627776	6.963554238	6.930491498	6.81443934	6.796880949	6.868486286	6.687925865	6.745274585
BECN1	11.49977401	11.43576744	11.44624826	11.61268816	11.57306336	11.59819811	11.63551185	11.59416977	11.67117718	11.69340304	11.64827539	11.70032836
BFAR	10.19743181	10.41358246	10.29813718	10.12350563	10.32275252	10.3025084	10.37631396	10.365397	10.59015323	10.69990244	10.86719229	10.82125686
BHLHA15	7.561474161	7.815409276	7.419634382	7.53728271	7.400199656	7.58315244	7.233337944	7.059777191	6.875128987	6.895990467	6.697195125	6.550627917
BNIP3	10.20380866	9.538872012	8.97011003	9.477951889	8.874383331	9.273261721	9.109710649	9.25176173	9.081490738	10.84585966	11.68418755	12.27946104
BOK	9.54382636	9.793547459	9.544711355	9.49524659	8.907775372	8.698558677	8.355897383	8.227836132	8.211983219	8.111898528	8.0083104	8.231080996
BTG2	10.73799618	10.73420897	11.13135689	11.04098039	11.3723245	11.42487276	11.84426718	11.4823503	11.95767635	12.39567602	12.42558009	12.09853748
CALCOCO2	7.031326554	7.26469816	7.079165594	7.037330097	6.878275662	6.92046806	6.891454666	7.124970628	7.05921408	6.672214069	6.976134777	6.737239504
CALR	14.08416568	14.54484732	13.40919741	14.24491877	13.4556644	14.5666481	14.27882231	14.36455393	14.44316236	14.75759523	14.61375812	14.68319334
