gene_id	0	1	2	4	5	6	7	8	9	10	11	12	13	14	15
AARS2	10.61917114	10.55690849	10.59052975	10.47044319	10.52919945	10.47917112	10.38024167	10.35664541	10.04830994	10.02196305	10.16634589	9.999315353	10.09590568	10.10810156	10.02775194
AARSD1	9.704688018	10.10414416	10.10495941	10.00523667	10.0850794	9.977996452	9.89937317	9.92499387	10.04096278	9.891266365	9.996659288	9.842653855	9.965646015	9.777409213	9.855435883
ABCA7	9.123636535	8.856838022	8.777054024	8.787807676	8.758895237	8.988748748	9.132007935	9.540425821	9.080867555	9.099426774	9.326618319	9.466178788	9.532187553	9.673136276	9.710690996
ABCE1	12.55142121	12.20318165	12.04809962	11.89014505	11.82530637	11.73075815	11.61333951	11.51989679	11.67032263	11.74596703	11.48761636	11.46123121	11.21904647	11.22237914	11.2132482
ABCF1	12.6656005	12.95470126	12.84673601	12.69408084	12.58278573	12.44731373	12.30765797	12.1897877	12.20702984	12.15573201	12.09418692	12.08496316	12.06641852	12.01734213	11.91928968
ABTB1	7.242171224	7.725845974	7.80266048	7.917725237	8.037329294	8.154802168	8.360370499	8.399259353	8.212321374	8.050072028	8.076246813	8.088990692	7.980442824	8.070078153	8.001968521
ACO1	11.45962394	10.95157147	11.12357991	11.19985865	11.21157194	11.29498784	11.33677829	11.32619195	11.22920709	11.40148809	11.29419117	11.30016153	11.22329337	11.27800794	11.17674765
ADRB2	7.370074532	7.063672532	6.985923653	7.263225835	7.156396963	7.239581478	7.135442022	7.054726075	6.945804727	7.038987286	6.935260504	7.180020354	7.290249978	7.332598545	7.337989443
AGO1	12.34599997	13.39403083	13.37738167	13.75214945	14.15047018	14.31053943	14.52066357	14.38680179	14.24622842	13.94461957	13.8992932	13.68960527	13.73540376	13.62395407	13.63595977
AGO2	12.38977974	12.45990013	12.27211583	12.35562344	12.34156733	12.27388094	12.3904407	12.09243193	11.84567486	12.10038425	11.92424981	11.95853633	11.9771303	11.9805058	11.96109424
AGO3	10.23052955	10.04922297	10.1759089	10.34286638	10.34341049	10.36655355	10.51130202	10.34786334	10.2930462	10.56543944	10.58099547	10.61844604	10.59407481	10.68484689	10.76358334
AGO4	10.17901735	10.39960505	10.47936807	10.25196343	10.30318642	10.2750215	10.40887053	10.28991381	10.45153905	10.24352581	10.32925009	10.27832241	10.45826933	10.48780231	10.56570074
AIMP1	10.48618216	10.09695176	10.1351312	9.953480062	10.00468917	9.937061761	9.991737221	9.997929247	10.03053509	10.12420752	10.11869414	10.06726561	10.01223467	10.03700577	10.08930623
AIMP2	10.82135175	11.07845042	10.9546758	10.74080704	10.705712	10.53090527	10.3825291	10.30759772	10.22675749	10.40820606	10.20832421	10.14588207	10.12829999	10.0981264	9.995713214
AKT1	11.95379348	12.20394881	12.1671889	12.42926505	12.5867564	12.68099511	12.71123663	12.84986527	12.80226793	12.88116854	12.88233757	12.90348193	12.93031281	12.92215798	12.84649964
AKT2	11.93987027	12.03328206	12.18835028	12.06393366	11.94890897	11.87684546	11.78116079	11.80176432	11.69958207	11.74167733	11.78384405	11.79595142	11.79430667	11.7833469	11.80328169
ALKBH1	9.466308682	9.71700663	9.476959198	9.565944772	9.578496203	9.501919369	9.477436338	9.283123539	9.529969053	9.442996178	9.384903128	9.412740345	9.342095403	9.382375731	9.40666554
AMBRA1	10.84859107	11.19210949	11.16104068	11.03966761	11.00971893	11.0576507	11.02443404	11.02983987	11.06707318	10.99799364	11.13752002	10.98021597	11.16512134	11.13247407	11.09732445
AMFR	10.90742413	10.96522748	11.20435648	11.39632617	11.35615219	11.47982781	11.56166732	11.67501506	11.70006322	11.79630704	11.8021812	11.89294982	11.98629943	12.01103005	11.94944595
ANG	7.503594749	7.119145288	7.15636492	7.253342137	7.22130532	7.345220466	7.580222008	7.513955257	7.330158442	7.363936756	7.365888205	7.406160549	7.322338502	7.421610436	7.351357149
APOD	6.317878715	6.376727344	6.263344712	6.318248914	6.320130929	6.263344712	6.263344712	6.317126896	6.42175428	6.370333893	6.373272481	6.467021455	6.493770366	6.418665297	6.43742088
APP	14.33270115	14.18245711	13.98470426	14.03055042	14.08126678	14.24920617	14.3903244	14.58645706	14.49430628	14.66986796	14.6622133	14.79376877	14.89918587	14.96788771	14.92717866
ATF3	9.638902138	9.938509374	8.90254985	9.890070508	10.17542886	9.819024236	9.710012027	9.797977986	9.550421503	10.41954565	10.17934313	10.09158597	9.888903032	9.814423837	9.692183188
ATF4	13.63206388	13.3393584	13.38933653	13.42244281	13.36183842	13.27338942	13.20945555	13.29331907	13.26701174	13.46968871	13.43714922	13.31261918	13.31644216	13.13588677	13.14269358
ATF6	11.16619694	11.09974716	11.14638346	11.34900528	11.44588428	11.55843603	11.61810872	11.65649256	11.73580673	11.77872424	11.7535929	11.80767491	11.78045405	11.8438299	11.89984174
ATG13	11.11376375	11.86582721	11.73649062	11.63358382	11.56873714	11.54894135	11.55117376	11.60632293	11.74891828	11.54296992	11.63575699	11.62230291	11.73294553	11.67448581	11.65500007
ATG14	9.709254385	9.906061837	9.793836082	9.638729223	9.721098811	9.714360621	9.537129218	9.354288156	10.04584372	9.684020441	9.731398622	9.784818788	9.703180774	9.665912668	9.739484364
ATG5	10.39391144	9.913347851	9.856323181	9.705250777	9.756172415	9.668043463	9.682248685	9.730450183	9.746503146	9.79202763	9.67691056	9.75704739	9.600476897	9.738803213	9.735393896
AUP1	11.1664695	11.19427032	11.21346275	11.15206607	11.17955841	11.10266408	11.08298268	11.08073409	11.05943648	10.99848708	11.13743471	11.06208877	11.09646655	11.00448261	10.97736934
